tahun,triwulan,jumlah_dokumen_aktif
2011,Q2,2
2012,Q2,2
2012,Q3,2
2012,Q4,2
2013,Q1,2
2013,Q2,2
2013,Q3,1
2013,Q4,8
2014,Q1,3
2014,Q2,4
2014,Q3,7
2014,Q4,6
2015,Q1,4
2015,Q2,3
2015,Q3,2
2015,Q4,6
2016,Q1,5
2016,Q2,7
2016,Q3,7
2016,Q4,2
2017,Q1,8
2017,Q2,20
2017,Q3,6
2017,Q4,5
2018,Q1,10
2018,Q2,12
2018,Q3,6
2018,Q4,8
2019,Q1,23
2019,Q2,23
2019,Q3,5
2019,Q4,23
2020,Q1,23
2020,Q2,12
2020,Q3,15
2020,Q4,26
2021,Q1,18
2021,Q2,20
2021,Q3,19
2021,Q4,21
2022,Q1,22
2022,Q2,17
2022,Q3,23
2022,Q4,9
2023,Q1,19
2023,Q2,12
2023,Q3,73
2023,Q4,41
2024,Q1,34
2024,Q2,24
2024,Q3,35
2024,Q4,38
2025,Q1,12
2025,Q2,21
2025,Q3,44
2025,Q4,21
2026,Q1,5
